Date,Open,High,Low,Close,Adj Close,Volume
29-01-2007,328.75,328.75,322.75,324.4375,238.659958,2982324
31-01-2007,324.274994,328.475006,318,319.475006,235.009399,4865928
01-02-2007,322.487488,323.75,318.75,323.012512,237.611618,1859904
02-02-2007,324.75,326.75,323.762512,325.125,239.165634,4274616
05-02-2007,326.25,328.475006,323.5,326.450012,240.140366,3010736
06-02-2007,328.25,328.475006,322.512512,324.600006,238.779495,3411964
07-02-2007,325,328.100006,323.799988,326.575012,240.23233,2599984
08-02-2007,327.850006,328.725006,324.337494,326.125,239.901245,2650024
09-02-2007,327.350006,329.362488,320.787506,321.850006,236.756561,1993360
12-02-2007,312.5,324.674988,312.5,313.950012,230.945282,1786388
13-02-2007,314,321.225006,308.75,313.225006,230.411957,4130352
14-02-2007,313.25,316.75,310,315.1875,231.855453,3137876
15-02-2007,316.25,325,306.274994,323.0625,237.648422,3673556
19-02-2007,325.350006,329.674988,323.799988,327.450012,240.875931,4738696
20-02-2007,328.475006,330.950012,323.75,324.887512,238.990936,5400148
21-02-2007,325,327.9375,320,320.962494,236.103622,3938188
22-02-2007,325,328.100006,321.5,323.575012,238.025482,6939112
23-02-2007,323.75,324.875,318.25,319.337494,234.908401,3167688
26-02-2007,318,323.462494,308.125,321.524994,236.517502,4677684
27-02-2007,313.5,323.549988,313.5,316.037506,232.480789,4709968
28-02-2007,308.25,311.237488,293,298.350006,219.469589,9347956
01-03-2007,300,317,297.600006,313.662506,230.733688,7858564
02-03-2007,313.700012,315,300.25,302.137512,222.255783,5311752
05-03-2007,297.5,299.75,287.5,288.887512,212.508926,5120880
06-03-2007,302.5,333.75,290.274994,299.3125,220.177704,3623920
07-03-2007,300.5,306.174988,289.350006,297.950012,219.175369,4440632
08-03-2007,297.5,307.424988,297.5,304.600006,224.06723,2274988
09-03-2007,307.075012,308.25,299.5,303.037506,222.917816,3232148
12-03-2007,306.174988,313.424988,302.75,308.75,227.120071,3636936
13-03-2007,306.375,317.225006,300.024994,316.350006,232.710648,2032088
14-03-2007,306.25,310.475006,301.25,303.387512,223.175232,3824948
15-03-2007,307.5,312.75,307,308.575012,226.991272,3823288
16-03-2007,310.350006,314.462494,303.787506,309.412506,227.607437,4224284
19-03-2007,304.075012,316.1875,300.450012,315.225006,231.883072,1213696
20-03-2007,315,319.125,312,313.25,230.430267,2775592
21-03-2007,315.25,317.350006,310,316.75,233.004807,1970036
22-03-2007,319.25,326.75,319.25,325.762512,239.634583,4125592
23-03-2007,328,330,320,322.049988,236.903717,5265296
26-03-2007,321.25,324.674988,313.8125,315.337494,231.96582,6098736
28-03-2007,317.475006,317.475006,298.512512,300.25,220.86734,8818048
29-03-2007,297.237488,314.200012,297.237488,312.087494,229.575073,10266624
30-03-2007,312.087494,313.700012,305.0625,308.462494,226.908615,2807056
02-04-2007,302.5,305,296.25,297.299988,218.69725,3875896
03-04-2007,298.75,304.200012,297,300.662506,221.170776,3256852
04-04-2007,304.5,306.174988,297.600006,299.600006,220.38916,2402496
05-04-2007,299.862488,301.5,296.524994,298.549988,219.616776,2533992
09-04-2007,300.125,306.6875,300.125,304.299988,223.846619,2284524
10-04-2007,304.299988,306.25,298.837494,299.337494,220.196106,3480240
11-04-2007,301.350006,302.362488,296.75,297.637512,218.945587,3826336
12-04-2007,297,302.25,293,300.237488,220.858124,3694956
13-04-2007,302.5,317.100006,298.5,315.5,232.085388,9778848
16-04-2007,321,326.475006,317.5625,320.0625,235.441498,9986220
17-04-2007,321.424988,328.75,309.5,312.5625,229.924622,10464964
18-04-2007,313.5,316.25,310.25,311.875,229.418823,2853584
19-04-2007,307.5,312,301.274994,310.725006,228.572906,3164652
20-04-2007,313,316.987488,312.524994,314.412506,231.285416,2870752
23-04-2007,313.75,317.450012,311.25,311.950012,229.47403,2265224
24-04-2007,311,315.5,304.75,306.212494,225.253372,6922516
25-04-2007,306.25,306.725006,302,305.337494,224.609756,21752404
26-04-2007,306.75,312.399994,305,310.100006,228.113068,5941756
27-04-2007,308.75,309.125,304.3125,308.625,227.028,4805284
30-04-2007,310.262512,317.475006,301.25,316.5,232.821014,3888052
03-05-2007,318.700012,323.700012,318.137512,322.549988,237.271469,6643028
04-05-2007,324.75,332.475006,317.25,318.262512,234.117523,7101200
07-05-2007,320.5,321.225006,316.287506,318.225006,234.089981,5553328
08-05-2007,317.5,320,314.3125,316.637512,232.92215,8191004
09-05-2007,325,325,306.25,309.875,227.947525,4699828
10-05-2007,311.25,322.475006,306.5,307.424988,226.145309,3044200
